Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Leveraging Case Narratives to Enhance Patient Age Ascertainment from Adverse Event Reports,"Pham, P.; Cheng, C.; Wu, E.; Kim, I.; Zhang, R.; Ma, Y.; Kortepeter, C. M.; Muñoz, M. A.","INTRODUCTION: Missing age presents a significant challenge when evaluating individual case safety reports (ICSRs) in the FDA Adverse Event Reporting System (FAERS). When age is missing in an ICSR's structured field, it may be in the report's free-text narrative. OBJECTIVES: This study aimed to evaluate the performance and assess the potential impact of a rule-based natural language processing (NLP) tool that utilizes a text string search to identify patients' numerical age from unstructured narratives. METHODS: Using FAERS ICSRs from 2002 to 2018, we evaluated the annual proportion of ICSRs with age missing in the structured field before and after NLP application. Reviewers manually identified patients' age from ICSR narratives (gold standard) from a random sample of 1500 ICSRs. The gold standard was compared to the NLP-identified age. RESULTS: During the study period, the percentage of ICSRs missing age in the structured field increased from 21.9 to 43.8%. The NLP tool performed well among the random sample: sensitivity 98.5%, specificity 92.9%, positive predictive value (PPV) 94.9%, and F-measure 96.7%. It also performed well for the subset of ICSRs missing age in the structured field; when applied to these cases, NLP identified age for an additional one million ICSRs (10% of the total number of ICSRs from 2002 to 2018) and decreased the percentage of ICSRs missing age to 27% overall. CONCLUSIONS: NLP has potential utility to extract patients' age from ICSR narratives. Use of this tool would enhance pharmacovigilance and research using FAERS data.",2021,Sep 2,Pharmaceut Med,,,,34476768,10.1007/s40290-021-00398-5,,#4171,Pham 2021,Exclusion reason: Lack of Machine Learning; ,""
Using real-world healthcare data for pharmacovigilance signal detection-the experience of the EU-ADR project,"Patadia, V. K.; Coloma, P.; Schuemie, M. J.; Herings, R.; Gini, R.; Mazzaglia, G.; Picelli, G.; Fornari, C.; Pedersen, L.; Van Der Lei, J.; Sturkenboom, M.; Trifirò, G.","A prospective pharmacovigilance signal detection study, comparing the real-world healthcare data (EU-ADR) and two spontaneous reporting system (SRS) databases, US FDA's Adverse Event Reporting System and WHO's Vigibase is reported. The study compared drug safety signals found in the EU-ADR and SRS databases. The potential for signal detection in the EU-ADR system was found to be dependent on frequency of the event and utilization of drugs in the general population. The EU-ADR system may have a greater potential for detecting signals for events occurring at higher frequency in general population and those that are commonly not considered as potentially a drug-induced event. Factors influencing various differences between the datasets are discussed along with potential limitations and applications to pharmacovigilance practice.",2015,,Expert Review of Clinical Pharmacology,8,1,95-102,,10.1586/17512433.2015.992878,,#7572,Patadia 2015,Exclusion reason: Review Paper; ,""
"Pneumocystis pneumonia in patients with rheumatic diseases receiving prolonged, non-high-dose steroids-clinical implication of primary prophylaxis using trimethoprim-sulfamethoxazole","Park, J. W.; Curtis, J. R.; Kim, M. J.; Lee, H.; Song, Y. W.; Lee, E. B.","OBJECTIVES: To investigate the incidence of pneumocystis pneumonia (PCP) and its risk factors in patients with rheumatic disease receiving non-high-dose steroid treatment, along with the risks and benefits of PCP prophylaxis. METHODS: This study included 28,292 treatment episodes with prolonged (≥ 4 weeks), non-high-dose steroids (low dose [< 15 mg/day, n = 27,227] and medium dose [≥ 15 to < 30 mg/day, n = 1065], based on prednisone) over a 14-year period. Risk factors for PCP and prophylactic effect of trimethoprim-sulfamethoxazole (TMP-SMX) were investigated if the 1-year incidence rate (IR) of PCP in each dose group was > 0.1/100 person-years. Cox regression with LASSO was used for analysis. RESULTS: One-year PCP IR in the low-dose group was 0.01 (95% CI 0.001-0.03)/100 person-years, and only the medium-dose group showed eligible PCP IR for further analysis. In the medium-dose group, prophylactic TMP-SMX was administered in 45 treatment episodes while other episodes involved no prophylaxis (prophylaxis group vs. control group). In 1018.0 person-years, 5 PCP cases occurred exclusively in the control group, yielding an IR of 0.5 (0.2-1.2)/100 person-years. Concomitant steroid-pulse treatment and baseline lymphopenia were the most significant risk factors for PCP. Treatment episodes with at least one of these factors (n = 173, high-risk subgroup) showed higher 1-year PCP IR (3.4 (1.1-8.0)/100 person-years), while no PCP occurred in other treatment episodes. TMP-SMX numerically reduced the risk (adjusted HR = 0.2 (0.001-2.3)) in the high-risk subgroup. The IR of adverse drug reactions (ADRs) related to TMP-SMX was 41.5 (22.3-71.6)/100 person-years, including one serious ADR. The number needed to treat with TMP-SMX to prevent one PCP in the high-risk subgroup (31 (17-226)) was lower than the number needed to harm by serious ADR (45 (15-∞)). CONCLUSION: Incidence of PCP in patients with rheumatic diseases receiving prolonged, medium-dose steroids depends on the presence of risk factors. Prophylactic TMP-SMX may have greater benefit than potential risk in the high-risk subgroup.",2019,Sep 14,Arthritis Res Ther,21,1,207,31521185,10.1186/s13075-019-1996-6,,#5521,Park 2019,Exclusion reason: Prognostic Task; ,""
"Machine Learning to Predict, Detect, and Intervene Older Adults Vulnerable for Adverse Drug Events in the Emergency Department","Ouchi, K.; Lindvall, C.; Chai, P. R.; Boyer, E. W.","Adverse drug events (ADEs) are common and have serious consequences in older adults. ED visits are opportunities to identify and alter the course of such vulnerable patients. Current practice, however, is limited by inaccurate reporting of medication list, time-consuming medication reconciliation, and poor ADE assessment. This manuscript describes a novel approach to predict, detect, and intervene vulnerable older adults at risk of ADE using machine learning. Toxicologists' expertise in ADE is essential to creating the machine learning algorithm. Leveraging the existing electronic health records to better capture older adults at risk of ADE in the ED may improve their care.",2018,Sep,J Med Toxicol,14,3,248-252,29858745,10.1007/s13181-018-0667-3,,#4343,Ouchi 2018,Exclusion reason: Review Paper; ,""
Pediatric Drug Safety Signal Detection: A New Drug–Event Reference Set for Performance Testing of Data-Mining Methods and Systems,"Osokogu, O. U.; Fregonese, F.; Ferrajolo, C.; Verhamme, K.; de Bie, S.; Jong, G.; Catapano, M.; Weibel, D.; Kaguelidou, F.; Bramer, W. M.; Hsia, Y.; Wong, I. C. K.; Gazarian, M.; Bonhoeffer, J.; Sturkenboom, M.","Background: Better evidence regarding drug safety in the pediatric population might be generated from existing data sources such as spontaneous reporting systems and electronic healthcare records. The Global Research in Paediatrics (GRiP)–Network of Excellence aims to develop pediatric-specific methods that can be applied to these data sources. A reference set of positive and negative drug–event associations is required. Objective: The aim of this study was to develop a pediatric-specific reference set of positive and negative drug–event associations. Methods: Considering user patterns and expert opinion, 16 drugs that are used in individuals aged 0–18 years were selected and evaluated against 16 events, regarded as important safety outcomes. A cross-table of unique drug–event pairs was created. Each pair was classified as potential positive or negative control based on information from the drug’s Summary of Product Characteristics and Micromedex. If both information sources consistently listed the event as an adverse event, the combination was reviewed as potential positive control. If both did not, the combination was evaluated as potential negative control. Further evaluation was based on published literature. Results: Selected drugs include ibuprofen, flucloxacillin, domperidone, methylphenidate, montelukast, quinine, and cyproterone/ethinylestradiol. Selected events include bullous eruption, aplastic anemia, ventricular arrhythmia, sudden death, acute kidney injury, psychosis, and seizure. Altogether, 256 unique combinations were reviewed, yielding 37 positive (17 with evidence from the pediatric population and 20 with evidence from adults only) and 90 negative control pairs, with the remainder being unclassifiable. Conclusion: We propose a drug–event reference set that can be used to compare different signal detection methods in the pediatric population.",2015,,Drug Safety,38,2,207-217,,10.1007/s40264-015-0265-0,,#5318,Osokogu 2015,Exclusion reason: Lack of Machine Learning; ,Awaiting classification
Association between selective beta-adrenergic drugs and blood pressure elevation: Data mining of the Japanese adverse drug event report (JADER) database,"Ohyama, K.; Inoue, M.","Selective beta-adrenergic drugs are used clinically to treat various diseases. Because of imperfect receptor selectivity, beta-adrenergic drugs cause some adverse drug events by stimulating other adrenergic receptors. To examine the association between selective beta-adrenergic drugs and blood pressure elevation, we reviewed the Japanese Adverse Drug Event Reports (JADERs) submitted to the Japan Pharmaceuticals and Medical Devices Agency. We used the Medical Dictionary for Regulatory Activities (MedDRA) Preferred Terms extracted from Standardized MedDRA queries for hypertension to identify events related to blood pressure elevation. Spontaneous adverse event reports from April 2004 through May 2015 in JADERs, a data mining algorithm, and the reporting odds ratio (ROR) were used for quantitative signal detection, and assessed by the case/non-case method. Safety signals are considered significant if the ROR estimates and lower bound of the 95% confidence interval (CI) exceed 1. A total of 2021 reports were included in this study. Among the nine drugs examined, significant signals were found, based on the 95%CI for salbutamol (ROR: 9.94, 95% CI: 3.09-31.93) and mirabegron (ROR: 7.52, 95%CI: 4.89-11.55). The results of this study indicate that some selective beta-adrenergic drugs are associated with blood pressure elevation. Considering the frequency of their indications, attention should be paid to their use in elderly patients to avoid adverse events.",2016,,Yakugaku Zasshi,136,7,1065-1071,,10.1248/yakushi.15-00299,,#618,Ohyama 2016,Exclusion reason: Non-English; ,""
A new search method using association rule mining for drug-drug interaction based on spontaneous report system,"Noguchi, Y.; Ueno, A.; Otsubo, M.; Katsuno, H.; Sugita, I.; Kanematsu, Y.; Yoshida, A.; Esaki, H.; Tachi, T.; Teramachi, H.","Background: Adverse events (AEs) can be caused not only by one drug but also by the interaction between two or more drugs. Therefore, clarifying whether an AE is due to a specific suspect drug or drug-drug interaction (DDI) is useful information for proper use of drugs. Whereas previous reports on the search for drug-induced AEs with signal detection using spontaneous reporting systems (SRSs) are numerous, reports on drug interactions are limited. This is because in methods that use ""a safety signal indicator"" (signal), which is frequently used in pharmacovigilance, a huge number of combinations must be prepared when signal detection is performed, and each risk index must be calculated, which makes interaction search appear unrealistic. Objective: In this paper, we propose association rule mining (AR) using large dataset analysis as an alternative to the conventional methods (additive interaction model (AI) and multiplicative interaction model (MI)). Methods: The data source used was the Japanese Adverse Drug Event Report database. The combination of drugs for which the risk index is detected by the ""combination risk ratio (CR)"" as the target was assumed to be true data, and the accuracy of signal detection using the AR methods was evaluated in terms of sensitivity, specificity, Youden's index, F-score. Results: Our experimental results targeting Stevens-Johnson syndrome indicate that AR has a sensitivity of 99.05%, specificity of 92.60%, Youden's index of 0.917, F-score of 0.876, AI has a sensitivity of 95.62%, specificity of 96.92%, Youden's index of 0.925, and F-score of 0.924, and MI has a sensitivity of 65.46%, specificity of 98.78%, Youden's index of 0.642, and F-score of 0.771. This result was about the same level as or higher than the conventional method. Conclusions: If you use similar calculation methods to create combinations from the database, not only for SJS, but for all AEs, the number of combinations would be so enormous that it would be difficult to perform the calculations. However, in the AR method, the ""Apriori algorithm"" is used to reduce the number of calculations. Thus, the proposed method has the same detection power as the conventional methods, with the significant advantage that its calculation process is simple.",2018,,Frontiers in Pharmacology,9,MAR,,,10.3389/fphar.2018.00197,,#4987,Noguchi 2018,Exclusion reason: Lack of Machine Learning; ,""
Enhancing Prediction of Drug Indication and Side Effects through Named Entity Recognition and Jointly Learning of Syntactic Structures of Sentences,"Mohanapriya, D.; Beena, R.","The drug discovery process needs long time and cost to discover proper drug for treating the patients effectively. The unintended effects of drugs and the beneficial impact of drugs must be recognized because they may inflict severe patientâs injuries due to unforeseen acts of the produced candidate drugs. One of the effective techniques is text mining it can find the hidden relation between genes, diseases and drugs from the huge volume of data. Predict drug Indications and Side effects using TOpic modeling and Natural language processing (PISTON) was a text mining method which used to find the association between drug-disease and drug-side effects. Natural Language Processing (NLP) is used to identify words which relate association among drugs and genes from the sentences which are collected from literatures where words represent drugs and genes cooccurred. The relation between drugs and genes is represented through building drug-topic probability matrix by topic modeling. From the drug-topic probability matrix, the drugs for phenotypes can be identified by training a classifier for high-rank topics of drugs. It also predicted the association between drug and side effects. However, expressive power of named entities and their potential for enhancing the quality of discovered topics has not received much attention in PISTON. So in this paper, an Improved PISTON (IPISTON) is proposed which enhance the quality of discovered topics through named entity recognition system and inducing the syntactic structure from unannotated sentences. Initially, the sentences from the collected literature data are extracted and a dependency graph is constructed using NLP. After that, a Gene Regulation Score (GRS) of each sentence is calculated to define the relationship between gene and diseases. The topic modeling is enhanced by finding the biomedical entities in the biomedical repository using Conditional Random Field (CRF) and Bi-directional Long-Short Term Memory-CRF (BLSTM-CRF). CRF is a sequence modeling framework which finds the biomedical entities through the conditional probability distributions of biomedical entities on collected documents. BLSTM-CRF is a deep learning technique which is used to enhance the performance of CRF based named entity recognition. Moreover, the syntactic structure of sentences is calculated through syntactic distance measure. The syntactic structure, biomedical entities and the drug-topic probability matrix is given as input to CRF, BLSTM-CRF, Naïve Bayes, CART and Logistic for prediction of drug-phenotype and drug-side effects associations.",2020,,European Journal of Molecular and Clinical Medicine,7,6,170-176,,,,#2743,Mohanapriya 2020,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,""
One stage versus two stages deep learning approaches for the extraction of drug-drug interactions from texts,"Miranda-Escalada, A.; Segura-Bedmar, I.","Drug-drug interactions (DDI) are a cause of adverse drug reactions. They occur when a drug has an impact on the effect of another drug. There is not a complete, up to date database where health care professionals can consult the interactions of any drug because most of the knowledge on DDI is hidden in unstructured text. In last years, deep learning has been succesfully applied to the extraction of DDI from texts, which requires the detection and later classification of DDI. Most of the deep learning systems for DDI extraction developed so far have addressed the detection and classification in one single step. In this study, we compare the performance of one-stage and two-stage architectures for DDI extraction. Our architectures are based on a bidirectional recurrent neural network layer composed of Gated Recurrent Units. The two-stage system obtained a 67.45 % micro-average F1 score on the test set.",2020,Mar,Procesamiento Del Lenguaje Natural,,64,69-76,WOS:000620805200009,10.26342/2020-64-8,,#5141,Miranda-Escalada 2020,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,""
A Pattern Discovery Framework for Adverse Event Evaluation and Inference in Spontaneous Reporting Systems,"Markatou, M.; Ball, R.","Safety of medical products is a major public health concern. We present a critical discussion of the currently used analytical tools for mining spontaneous reporting systems (SRS) to identify safety signals after use of medical products. We introduce a pattern discovery framework for the analysis of SRS. The terminology 'pattern discovery' is borrowed from the engineering and artificial intelligence literature and signifies that the basis of the proposed framework is the medical case, formalizing the cognitive paradigm known to clinicians who evaluate individual patients and individual case safety reports submitted to SRS. The fundamental contribution of this approach is a strong probabilistic component that may account for selection and other biases and facilitates rigorous modeling and inference. We discuss somewhat in depth the concept of signal in pharmacovigilance and connect it with the concept of a pattern; we illustrate this conceptual framework using the example of anaphylaxis. Finally, we propose a research agenda in statistics, informatics, and pharmacovigilance practices needed to advance the pattern discovery framework in both the short and long terms. (C) 2014 Wiley Periodicals, Inc.",2014,Oct,Statistical Analysis and Data Mining,7,5,352-367,WOS:000364192400003,10.1002/sam.11233,,#5295,Markatou 2014,Exclusion reason: Review Paper; ,""
